sifra,naziv,razina
03.00.6,"Ostale vodene biljke, životinje i njihovi proizvodi",4
03.00.61,"Koralji i slični proizvodi, ljušture mekušaca, rakova ili bodljikaša i sipina kost",5
03.00.62,Prirodne spužve životinjskog podrijetla,5
03.00.63,"Morske alge i ostale alge za ljudsku prehranu, neuzgojene",5
03.00.64,"Morske alge i ostale alge za ljudsku prehranu, uzgojene",5
03.00.65,"Morske alge i ostale alge koje nisu prikladne za ljudsku prehranu, neuzgojene",5
03.00.66,"Morske alge i ostale alge koje nisu prikladne za ljudsku prehranu, uzgojene",5
03.00.69,"Ostale vodene biljke, životinje i njihovi proizvodi, d. n.",5
03.00.7,Pomoćne usluge u ribarstvu i akvakulturi,4
03.00.71,Pomoćne usluge u ribarstvu,5
03.00.72,Pomoćne usluge u akvakulturi,5
B,PROIZVODI RUDARSTVA I VAĐENJA,0
05,Ugljen i lignit,1
05.1,Kameni ugljen i ostali ugljen,2
05.10,Kameni ugljen i ostali ugljen,3
05.10.0,Kameni ugljen i ostali ugljen,4
05.10.01,Antracit,5
05.10.02,Bitumenski i ostali ugljen,5
05.2,Lignit,2
05.20,Lignit,3
05.20.0,Lignit,4
05.20.00,Lignit,5
06,Sirova nafta i prirodni plin,1
06.1,Sirova nafta,2
06.10,Sirova nafta,3
06.10.1,"Nafta i ulja dobivena od bitumenskih minerala, sirova",4
06.10.11,Kondenzati prirodnog plina,5
06.10.12,"Ostala nafta i ulja dobivena od bitumenskih minerala, sirova",5
06.10.2,Bitumenski ili uljni škriljevac i katranski pijesak,4
06.10.20,Bitumenski ili uljni škriljevac i katranski pijesak,5
06.2,"Prirodni plin, ukapljeni ili u plinovitom stanju",2
06.20,"Prirodni plin, ukapljeni ili u plinovitom stanju",3
06.20.0,"Prirodni plin, ukapljeni ili u plinovitom stanju",4
06.20.00,"Prirodni plin, ukapljeni ili u plinovitom stanju",5
07,Metalne rude,1
07.1,Željezne rude,2
07.10,Željezne rude,3
07.10.0,Željezne rude,4
07.10.00,Željezne rude,5
07.2,Rude obojenih metala,2
07.21,Uranove i torijeve rude,3
07.21.0,Uranove i torijeve rude,4
07.21.00,Uranove i torijeve rude,5
07.29,Ostale rude obojenih metala i njihovi koncentrati,3
07.29.0,Ostale rude obojenih metala i njihovi koncentrati,4
07.29.01,Rude i koncentrati bakra,5
07.29.02,Rude i koncentrati nikla,5
07.29.03,Rude i koncentrati aluminija,5
07.29.04,Rude i koncentrati plemenitih metala,5
07.29.05,"Rude i koncentrati olova, cinka i kositra",5
07.29.09,"Ostale rude obojenih metala i njihovi koncentrati, d. n.",5
08,Ostali proizvodi rudarstva i vađenja,1
08.1,"Kamen, pijesak i glina",2
08.11,"Ukrasni kamen, vapnenac, gips, škriljevac i drugi kamen",3
08.11.1,Vapnenac i gips,4
08.11.10,Vapnenac i gips,5
08.11.2,Kreda i nekalcinirani dolomit,4
08.11.20,Kreda i nekalcinirani dolomit,5
08.11.3,Ostali ukrasni kamen i kamen za gradnju,4
08.11.31,Mramor i ostale vrste vapnenačkog ukrasnoga kamena i kamena za gradnju,5
08.11.32,"Granit, pješčenjak i ostale vrste ukrasnoga kamena i kamena za gradnju",5
08.11.4,Škriljevac,4
08.11.40,Škriljevac,5
08.11.5,"Lomljeni ili drobljeni kamen, kameni granulat, odlomci i prah",4
08.11.50,"Lomljeni ili drobljeni kamen, kameni granulat, odlomci i prah",5
08.12,"Šljunak, pijesak, glina i kaolin",3
08.12.1,Šljunak i pijesak,4
08.12.11,Silikatni i kremeni pijesak,5
08.12.12,Ostali prirodni pijesak,5
08.12.13,Obluci i šljunak,5
08.12.14,"Mješavine troske i sličnih industrijskih otpadaka, bez obzira sadržavaju li ili ne sadržavaju oblutke, šljunak, krupne bjelutke i kremen za uporabu u građevinarstvu",5
08.12.2,Glina i kaolin,4
08.12.21,Kaolin i ostala kaolinska glina,5
08.12.22,"Ostala glina, andaluzit, cijanit i silimanit; mulit; šamotne i dinas zemlje",5
08.9,"Proizvodi rudarstva i vađenja, d. n.",2
08.91,Minerali za kemikalije i gnojiva,3
08.91.0,Minerali za kemikalije i gnojiva,4
08.91.01,Prirodni kalcijevi i aluminij-kalcijevi fosfati,5
08.91.02,Neprženi željezni piriti; sirovi ili nerafinirani sumpor,5
08.91.09,"Minerali za kemikalije i gnojiva, d. n.",5
08.92,Treset,3
08.92.0,Treset,4
08.92.00,Treset,5
08.93,Sol i čisti natrijev klorid; morska voda,3
08.93.0,Sol i čisti natrijev klorid; morska voda,4
08.93.00,Sol i čisti natrijev klorid; morska voda,5
08.99,"Ostali proizvodi rudarstva i vađenja, d. n.",3
08.99.1,Prirodni bitumen i asfalt; asfaltiti i asfaltne stijene,4
08.99.10,Prirodni bitumen i asfalt; asfaltiti i asfaltne stijene,5
08.99.2,"Drago i poludrago kamenje; industrijski dijamanti, neobrađeni ili jednostavno otpiljeni, rasječeni ili grubo brušeni; plovućac; sitnozrnati korund; prirodni korund, prirodni granat i ostali prirodni abrazivi; ostali minerali",4
08.99.21,"Drago i poludrago kamenje, neobrađeno, jednostavno otpiljeno ili grubo oblikovano",5
08.99.22,"Industrijski dijamanti, neobrađeni ili jednostavno otpiljeni, rasječeni ili grubo brušeni; plovućac; sitnozrnati korund; prirodni korund, prirodni granat i ostali prirodni abrazivi",5
08.99.23,Ostali minerali,5
09,Pomoćne usluge u rudarstvu,1
09.1,Pomoćne usluge za vađenje nafte i prirodnog plina,2
09.10,Pomoćne usluge za vađenje nafte i prirodnog plina,3
09.10.0,Pomoćne usluge za vađenje nafte i prirodnog plina,4
09.10.01,Usluge bušenja za vađenje nafte i prirodnog plina,5
09.10.02,"Usluge montaže, popravka i demontaže postrojenja za bušenje te povezane pomoćne usluge za vađenje nafte i prirodnog plina",5
09.10.03,Usluge ukapljivanja i uplinjavanja prirodnog plina za potrebe transporta izvršene na oknu,5
09.9,Pomoćne usluge za ostalo rudarstvo i vađenje,2
09.90,Pomoćne usluge za ostalo rudarstvo i vađenje,3
09.90.0,Pomoćne usluge za ostalo rudarstvo i vađenje,4
09.90.01,Pomoćne usluge za vađenje kamenog ugljena,5
09.90.02,Pomoćne usluge za vađenje metalnih ruda,5
09.90.09,"Pomoćne usluge za ostalo rudarstvo i vađenje, d. n.",5
C,PROIZVODI PRERAÐIVAČKE INDUSTRIJE,0
10,Prehrambeni proizvodi,1
10.1,Konzervirano meso i mesni proizvodi,2
10.11,"Prerađeno i konzervirano meso, osim mesa peradi",3
10.11.1,"Meso goveda, svinja, ovaca, koza, konja i drugih kopitara, svježe ili hlađeno",4
10.11.11,"Goveđe meso, svježe ili hlađeno",5
10.11.12,"Svinjsko meso, svježe ili hlađeno",5
10.11.13,"Ovčje meso, svježe ili hlađeno",5
10.11.14,"Kozje meso, svježe ili hlađeno",5
10.11.15,"Konjsko meso i meso drugih kopitara, svježe ili hlađeno",5
10.11.2,"Jestivi otpaci i ostaci od goveda, svinja, ovaca, koza, konja i drugih kopitara, svježi ili hlađeni",4
10.11.20,"Jestivi otpaci i ostaci od goveda, svinja, ovaca, koza, konja i drugih kopitara, svježi ili hlađeni",5
10.11.3,Zamrznuto meso i jestivi otpaci i ostaci; ostalo meso i jestivi otpaci i ostaci,4
10.11.31,"Goveđe meso, zamrznuto",5
10.11.32,"Svinjsko meso, zamrznuto",5
10.11.33,"Ovčje meso, zamrznuto",5
10.11.34,"Kozje meso, zamrznuto",5
10.11.35,"Konjsko meso i meso drugih kopitara, zamrznuto",5
10.11.36,"Ostalo meso i jestivi otpaci i ostaci od životinja, svježi, rashlađeni ili smrznuti",5
10.11.4,"Čupana vuna i sirove kože goveda, kopitara, ovaca i koza",4
10.11.41,"Čupana vuna, masna",5
10.11.42,Cijele sirove kože goveda ili kopitara,5
10.11.43,Ostale sirove kože goveda ili kopitara,5
10.11.44,Sirove ovčje ili janjeće kože,5
10.11.45,Sirove kozje ili jareće kože,5
10.11.5,"Masti od goveda, ovaca, koza ili svinja",4
10.11.50,"Masti od goveda, ovaca, koza ili svinja",5
10.11.6,"Sirovi otpaci i ostaci, nejestivi",4
10.11.60,"Sirovi otpaci i ostaci, nejestivi",5
10.11.9,"Podugovarateljski poslovi kao dio prerade i konzerviranja mesa, osim mesa peradi",4
10.11.99,"Podugovarateljski poslovi kao dio prerade i konzerviranja mesa, osim mesa peradi",5
10.12,Prerađeno i konzervirano meso peradi,3
10.12.1,"Meso peradi, svježe ili hlađeno",4
10.12.10,"Meso peradi, svježe ili hlađeno",5
10.12.2,"Meso peradi, zamrznuto",4
10.12.20,"Meso peradi, zamrznuto",5
10.12.3,Masti od peradi,4
10.12.30,Masti od peradi,5
10.12.4,Jestivi otpaci i ostaci od peradi,4
10.12.40,Jestivi otpaci i ostaci od peradi,5
10.12.5,Perje i ptičje kože s perjem,4
10.12.50,Perje i ptičje kože s perjem,5
10.12.9,Podugovarateljski poslovi kao dio prerade i konzerviranja mesa peradi,4
10.12.99,Podugovarateljski poslovi kao dio prerade i konzerviranja mesa peradi,5
10.13,"Pripremljeno i konzervirano meso, jestivi mesni otpaci i ostaci ili krv",3
10.13.1,"Pripremljeno i konzervirano meso, jestivi mesni otpaci i ostaci ili krv",4
10.13.11,"Svinjsko meso, rezano, soljeno, sušeno ili dimljeno",5
10.13.12,"Goveđe meso, soljeno, sušeno ili dimljeno",5
10.13.13,"Ostalo meso i jestivi mesni otpaci i ostaci, soljeni, u salamuri, sušeni ili dimljeni; jestivo brašno i krupica od mesa ili jestivih mesnih otpadaka i ostataka",5
10.13.14,"Kobasice i slični proizvodi od mesa, jestivih mesnih otpadaka i ostataka ili krvi",5
10.13.15,"Ostalo pripremljeno i konzervirano meso, jestivi mesni otpaci i ostaci te krv",5
10.13.16,"Brašno, krupica i pelete od mesa, neprikladni za ljudsku prehranu; čvarci",5
10.13.9,"Kuhanje i ostale usluge pripremanja u proizvodnji mesnih proizvoda; podugovarateljski poslovi kao dio proizvodnje konzerviranog i pripremljenog mesa, jestivih mesnih otpadaka ili krvi",4
10.13.91,Kuhanje i ostale usluge pripremanja u proizvodnji mesnih proizvoda,5
10.13.99,"Podugovarateljski poslovi kao dio proizvodnje konzerviranog i pripremljenog mesa, jestivih mesnih otpadaka ili krvi",5
10.2,"Prerađene i konzervirane ribe, rakovi i mekušci",2
10.20,"Prerađene i konzervirane ribe, rakovi i mekušci",3
10.20.1,"Ribe, svježe, hlađene ili smrznute",4
10.20.11,"Riblji fileti i ostalo riblje meso, mljeveni ili ne, svježi ili hlađeni",5
10.20.12,"Riblja jetra i ikra, svježa ili hlađena",5
10.20.13,"Riba, zamrznuta",5
10.20.14,"Riblji fileti, zamrznuti",5
10.20.15,"Riblje meso, mljeveno ili ne, zamrznuto",5
