sifra,naziv,razina
27.51.26,Električni grijači prostorija i podova,5
27.51.27,Mikrovalne pećnice,5
27.51.28,"Ostale električne pećnice; štednjaci, kuhala i ploče za kuhanje; roštilji, ražnjevi",5
27.51.29,Električni grijaći otpornici,5
27.51.3,Dijelovi električnih aparata za kućanstvo,4
27.51.30,Dijelovi električnih aparata za kućanstvo,5
27.51.9,Podugovarateljski poslovi kao dio proizvodnje električnih aparata za kućanstvo,4
27.51.99,Podugovarateljski poslovi kao dio proizvodnje električnih aparata za kućanstvo,5
27.52,Neelektrični aparati za kućanstvo,3
27.52.1,"Neelektrični aparati za kućanstvo, za grijanje i kuhanje",4
27.52.11,"Neelektrični aparati za kuhanje i grijaći tanjuri za kućanstvo od željeza, čelika ili bakra",5
27.52.12,"Ostali grijači prostorija za kućanstvo, na plinovita goriva ili kombinirana plinovita i druga goriva, na tekuća ili kruta goriva",5
27.52.13,"Ostali neelektrični grijači zraka i razdjelnici toplog zraka, od željeza i čelika",5
27.52.14,Neelektrični protočni i akumulacijski grijači vode,5
27.52.2,"Dijelovi pećnica, štednjaka, aparata za grijanje tanjura i sličnih neelektričnih aparata za kućanstvo",4
27.52.20,"Dijelovi pećnica, štednjaka, aparata za grijanje tanjura i sličnih neelektričnih aparata za kućanstvo",5
27.52.9,Podugovarateljski poslovi kao dio proizvodnje neelektričnih aparata za kućanstvo,4
27.52.99,Podugovarateljski poslovi kao dio proizvodnje neelektričnih aparata za kućanstvo,5
27.9,Ostala električna oprema,2
27.90,Ostala električna oprema,3
27.90.1,Ostala električna oprema i njezini dijelovi,4
27.90.11,Električni strojevi i aparati s posebnim funkcijama,5
27.90.12,Električni izolatori; izolacijski pribor za električne strojeve i opremu; cijevi za električne vodiče,5
27.90.13,"Ugljene elektrode i ostali proizvodi od grafita i drugih vrsta ugljika, s električnom namjenom",5
27.90.14,Strojevi za galvanizaciju,5
27.90.2,Indikacijske ploče s ugrađenim uređajima s tekućim kristalima ili svjetlećim diodama; električni uređaji za zvučnu i vizualnu signalizaciju,4
27.90.20,Indikacijske ploče s ugrađenim uređajima s tekućim kristalima ili svjetlećim diodama; električni uređaji za zvučnu i vizualnu signalizaciju,5
27.90.3,"Električni alati za lemljenje i zavarivanje, strojevi i aparati za površinsko kaljenje i vruće štrcanje",4
27.90.31,Električni strojevi i aparati za lemljenje i zavarivanje; električni strojevi i aparati za vruće štrcanje metala ili sinteriranih metalnih karbida,5
27.90.32,Dijelovi električnih strojeva i aparata za lemljenje i zavarivanje; električni strojevi i aparati za vruće štrcanje metala ili sinteriranih metalnih karbida,5
27.90.33,Dijelovi ostale električne opreme; ostali električni dijelovi strojeva i aparata,5
27.90.4,"Ostala električna oprema, d. n.",4
27.90.41,Gorive ćelije,5
27.9,"0.42Prigušivači, za napon > 1000 V",2
27.90.43,"Kabeli uređaja, produžni kabeli i ostali električni kabeli s izoliranom žicom i priključcima",5
27.90.44,Elektromagneti; elektromagnetne spojke i kočnice; elektromagnetne glave za dizanje; ostali električni akceleratori čestica i ostala električna oprema,5
27.90.45,Punjači za baterije i akumulatore,5
27.90.5,Električni kondenzatori,4
27.9,"0.51Nepromjenjivi kondenzatori za uporabu u strujnim krugovima frekvencije 50/60 Hz i s reaktivnom snagom ≥ 0,5 kVAr",2
27.90.52,Ostali nepromjenjivi kondenzatori,5
27.90.53,Promjenljivi ili prilagodljivi (unaprijed podesivi) kondenzatori,5
27.90.6,"Električni otpornici, osim grijaćih otpornika",4
27.90.60,"Električni otpornici, osim grijaćih otpornika",5
27.90.7,"Električna oprema za signalizaciju, sigurnost, upravljanje prometom i nadzor prometa na željezničkim i tramvajskim prugama, cestama, unutarnjim vodenim putovima, parkiralištima, u lučkim postrojenjima ili zračnim lukama",4
27.90.70,"Električna oprema za signalizaciju, sigurnost, upravljanje prometom i nadzor prometa na željezničkim i tramvajskim prugama, cestama, unutarnjim vodenim putovima, parkiralištima, u lučkim postrojenjima ili zračnim lukama",5
27.90.8,"Dijelovi električnih kondenzatora, električnih otpornika, reostata i potenciometara",4
27.90.81,Dijelovi električnih kondenzatora,5
27.90.82,"Dijelovi električnih otpornika, reostata i potenciometara",5
27.90.9,Podugovarateljski poslovi kao dio proizvodnje ostale električne opreme,4
27.90.99,Podugovarateljski poslovi kao dio proizvodnje ostale električne opreme,5
28,"Strojevi i uređaji, d. n.",1
28.1,Strojevi za opće namjene,2
28.11,"Motori i turbine, osim motora za zrakoplove i motorna vozila",3
28.11.1,"Motori, osim motora za zrakoplove i motorna vozila",4
28.11.11,Izvanbrodski motori za pogon plovila,5
28.11.12,"Motori za pogon plovila, na paljenje s pomoću svjećica; ostali motori",5
28.11.13,"Ostali klipni motori s unutarnjim izgaranjem, na paljenje s pomoću kompresije",5
28.11.2,Turbine,4
28.11.21,Turbine na vodenu paru i druge parne turbine,5
28.11.22,Hidraulične turbine i vodenična kola,5
28.11.23,"Plinske turbine, osim turbomlaznih i turbopropelerskih",5
28.11.24,Turbine na vjetar,5
28.11.3,Dijelovi turbina,4
28.11.31,Dijelovi turbina na vodenu paru i drugih parnih turbina,5
28.11.32,Dijelovi hidrauličnih turbina i vodeničnih kola,5
28.11.33,"Dijelovi plinskih turbina, osim turbomlaznih i turbopropelerskih",5
28.11.34,Dijelovi vjetroturbina,5
28.11.4,Dijelovi motora,4
28.11.41,"Dijelovi motora s unutarnjim izgaranjem na paljenje s pomoću svjećica, osim dijelova za motore zrakoplova",5
28.11.49,"Dijelovi ostalih motora, d. n.",5
28.11.9,"Podugovarateljski poslovi kao dio proizvodnje motora i turbina, osim motora za zrakoplove i motorna vozila",4
28.11.99,"Podugovarateljski poslovi kao dio proizvodnje motora i turbina, osim motora za zrakoplove i motorna vozila",5
28.12,Hidraulični pogonski uređaji,3
28.12.1,"Hidraulični pogonski uređaji, osim dijelova",4
28.12.11,Hidraulični i pneumatski motori linearnog djelovanja (cilindri),5
28.12.12,Rotirajući hidraulični i pneumatski motori,5
28.12.13,Hidraulične crpke,5
28.12.14,Hidraulični i pneumatski ventili,5
28.12.15,Hidraulične jedinice,5
28.12.16,Hidraulični sustavi,5
28.12.2,Dijelovi hidrauličnih pogonskih uređaja,4
28.12.20,Dijelovi hidrauličnih pogonskih uređaja,5
28.12.9,Podugovarateljski poslovi kao dio proizvodnje hidrauličnih pogonskih uređaja,4
28.12.99,Podugovarateljski poslovi kao dio proizvodnje hidrauličnih pogonskih uređaja,5
28.13,Ostale crpke i kompresori,3
28.13.1,Crpke za tekućine; elevatori tekućina,4
28.13.11,"Crpke za gorivo, podmazivanje, rashladne medije i beton",5
28.13.12,"Ostale crpke za potiskivanje s izmjeničnim kretanjem, za tekućine",5
28.13.13,"Ostale crpke za potiskivanje s rotacijskim kretanjem, za tekućine",5
28.13.14,Ostale centrifugalne crpke za tekućine; ostale crpke,5
28.13.2,Zračne i vakuumske crpke; zračni i ostali plinski kompresori,4
28.13.21,Vakuumske crpke,5
28.13.22,Zračne crpke na ručni ili nožni pogon,5
28.13.23,Kompresori za rashladne uređaje,5
28.13.24,"Kompresori zraka, ugrađeni na šasiji prikolice za vuču",5
28.13.25,Turbokompresori,5
28.13.26,Oscilirajući potisni kompresori,5
28.13.27,"Rotirajući potisni kompresori, s jednom ili više osovina",5
28.13.28,Ostali kompresori,5
28.13.3,Dijelovi crpki i kompresora,4
28.13.31,Dijelovi crpki; dijelovi elevatora tekućina,5
28.13.32,"Dijelovi zračnih i vakuumskih crpki, zračnih i plinskih kompresora, ventilatora i napa",5
28.13.9,Podugovarateljski poslovi kao dio proizvodnje ostalih crpki i kompresora,4
28.13.99,Podugovarateljski poslovi kao dio proizvodnje ostalih crpki i kompresora,5
28.14,Ostale slavine i ventili,3
28.14.1,"Slavine, pipci, ventili i slični uređaji za cjevovode, kotlove, spremnike, kace i slično",4
28.14.11,"Ventili za snižavanje tlaka, kontrolni i sigurnosni ventili",5
28.14.12,"Slavine, pipci, ventili za sudopere, umivaonike, bidee, vodokotliće, kade i slične predmete; ventili za radijatore za centralno grijanje",5
28.14.13,"Regulacijski ventili, zaporni, okrugli i ostali ventili",5
28.14.2,"Dijelovi slavina, ventila i sličnih proizvoda",4
28.14.20,"Dijelovi slavina, ventila i sličnih proizvoda",5
28.14.9,Podugovarateljski poslovi kao dio proizvodnje ostalih slavina i ventila,4
28.14.99,Podugovarateljski poslovi kao dio proizvodnje ostalih slavina i ventila,5
28.15,"Ležajevi, prijenosnici, prijenosni i pogonski elementi",3
28.15.1,Kuglični i valjkasti ležajevi,4
28.15.10,Kuglični i valjkasti ležajevi,5
28.15.2,"Ostali ležajevi, prijenosnici, prijenosni i pogonski elementi",4
28.15.21,"Prijenosni člankasti lanci, od željeza ili čelika",5
28.15.22,Transmisijska vratila i poluge,5
28.15.23,Kućišta za ležajeve i klizni ležajevi,5
28.15.24,Zupčanici; kuglična i valjkasta vretena; mjenjačke kutije i ostali mjenjači brzina,5
28.15.25,"Zamašnjaci, remenice i užnice",5
28.15.26,Uključne spojke i spojke za vratila,5
28.15.3,"Dijelovi ležajeva, prijenosnika i pogonskih elemenata",4
28.15.31,"Kuglice, iglice i valjci; dijelovi kugličnih i valjkastih ležajeva",5
28.15.32,"Dijelovi prijenosnih člankastih lanaca, od željeza i čelika",5
28.15.39,"Dijelovi ležajeva i pogonskih elemenata, d. n.",5
28.15.9,"Podugovarateljski poslovi kao dio proizvodnje ležajeva, prijenosnika te prijenosnih i pogonskih elemenata",4
28.15.99,"Podugovarateljski poslovi kao dio proizvodnje ležajeva, prijenosnika te prijenosnih i pogonskih elemenata",5
28.2,Ostali strojevi za opće namjene,2
28.21,"Peći, kamini i trajna oprema za grijanje kućanstva",3
28.21.1,"Peći, kamini i trajna oprema za grijanje kućanstva",4
28.21.11,Plamenici; mehanički uređaji za loženje; mehanički odstranjivači pepela i slično,5
28.21.12,Neelektrične industrijske ili laboratorijske peći,5
28.21.13,Električne industrijske i laboratorijske peći; indukcijska i dielektrična grijaća oprema,5
28.21.14,Nereverzibilne toplinske crpke,5
28.21.15,Rashladna i ventilacijska oprema za kućanstvo,5
28.21.16,Kotlovi za centralno grijanje za proizvodnju tople vode ili pare niskog pritiska,5
28.21.17,Ostala trajna oprema za grijanje kućanstva,5
28.21.18,"Dijelovi peći, kamina i trajne opreme za grijanje kućanstva",5
28.21.19,Dijelovi kotlova za centralno grijanje,5
28.21.9,"Podugovarateljski poslovi kao dio proizvodnje peći, kamina i trajne opreme za grijanje kućanstva",4
28.21.99,"Podugovarateljski poslovi kao dio proizvodnje peći, kamina i trajne opreme za grijanje kućanstva",5
28.22,Uređaji za dizanje i prenošenje,3
28.22.1,Uređaji za dizanje i prenošenje te njihovi dijelovi,4
28.22.11,Koloturni sustavi i ostale dizalice-koloturnici,5
28.22.12,Izvozni uređaji za okna; vitla posebno izrađena za uporabu pod zemljom; ostala vitla; vitla s vertikalnom osovinom,5
28.22.13,Dizalice za teški teret; dizalice za podizanje vozila,5
28.22.14,"Toranjske dizalice; dizalice (kranovi); pokretne portalne dizalice, pokretni nosači i teretni kamioni opremljeni dizalicom (kranom)",5
28.22.15,Viličari; ostala teretna radna kolica; vučna vozila vrste koja se upotrebljava na peronima željezničkih kolodvora,5
28.22.16,"Osobna i teretna dizala, pokretne stube i staze",5
28.22.17,"Pneumatska i ostala dizala i konvejeri koji rade kontinuirano, za robu i materijal",5
28.22.18,"Ostali uređaji za dizanje, prenošenje, utovar i istovar",5
28.22.19,Dijelovi uređaja za dizanje i prenošenje,5
28.22.2,"Vjedrice, lopate, hvataljke i kliješta za dizalice, kranove i slično",4
28.22.20,"Vjedrice, lopate, hvataljke i kliješta za dizalice, kranove i slično",5
28.22.9,Podugovarateljski poslovi kao dio proizvodnje uređaja za dizanje i prenošenje,4
28.22.99,Podugovarateljski poslovi kao dio proizvodnje uređaja za dizanje i prenošenje,5
28.23,"Uredski strojevi i oprema, osim računala i periferne opreme",3
28.23.1,Računovodstveni strojevi i slični strojevi s ugrađenim uređajem za računanje,4
28.23.10,Računovodstveni strojevi i slični strojevi s ugrađenim uređajem za računanje,5
28.23.2,Uredski strojevi i njihovi dijelovi,4
28.23.21,Uredski strojevi,5
28.23.22,Dijelovi i pribor za uredske strojeve,5
28.23.9,"Usluge proizvodnje uredskih i računovodstvenih strojeva, osim računala i periferne opreme; podugovarateljski poslovi kao dio proizvodnje uredskih strojeva i opreme, osim računala i periferne opreme",4
28.23.91,"Usluge proizvodnje uredskih i računovodstvenih strojeva, osim računala i periferne opreme",5
28.23.99,"Podugovarateljski poslovi kao dio proizvodnje uredskih strojeva i opreme, osim računala i periferne opreme",5
28.24,Mehanizirani ručni alat,3
28.24.1,Elektromehanički ručni alat; ostali prijenosni mehanizirani ručni alat,4
28.24.11,Elektromehanički ručni alat s ugrađenim elektromotorom,5
28.24.12,Ostali prijenosni mehanizirani ručni alat,5
28.24.2,Dijelovi mehaniziranoga ručnog alata,4
28.24.21,Dijelovi elektromehaničkoga ručnog alata s ugrađenim elektromotorom,5
28.24.22,Dijelovi ostaloga prijenosnog mehaniziranog ručnog alata,5
28.24.9,Podugovarateljski poslovi kao dio proizvodnje mehaniziranog ručnog alata,4
28.24.99,Podugovarateljski poslovi kao dio proizvodnje mehaniziranog ručnog alata,5
28.25,"Rashladna i ventilacijska oprema, osim za kućanstva",3
28.25.1,"Izmjenjivači topline; uređaji za klimatizaciju, oprema za hlađenje i zamrzavanje, osim za kućanstvo",4
28.25.11,Izmjenjivači topline i uređaji za proizvodnju ukapljenog zraka i drugih plinova,5
28.25.12,Uređaji za klimatizaciju,5
28.25.13,Oprema za hlađenje i zamrzavanje te reverzibilne toplinske crpke,5
28.25.14,Uređaji i aparati za filtriranje i pročišćivanje plinova,5
28.25.2,"Ventilatori, osim stolnih, podnih, zidnih, prozorskih, stropnih i krovnih",4
28.25.20,"Ventilatori, osim stolnih, podnih, zidnih, prozorskih, stropnih i krovnih",5
28.25.3,Dijelovi opreme za hlađenje i zamrzavanje te toplinskih crpki,4
28.25.30,Dijelovi opreme za hlađenje i zamrzavanje te toplinskih crpki,5
28.25.9,"Podugovarateljski poslovi kao dio proizvodnje rashladne i ventilacijske opreme, osim za kućanstva",4
28.25.99,"Podugovarateljski poslovi kao dio proizvodnje rashladne i ventilacijske opreme, osim za kućanstva",5
28.29,"Ostali strojevi za opće namjene, d. n.",3
28.29.1,"Generatori plina, aparati za destilaciju i filtriranje",4
28.29.11,Generatori za generatorski i vodeni plin; acetilenski generatori i slično; uređaji za destilaciju i rektifikaciju,5
28.29.12,Strojevi i aparati za filtriranje i pročišćavanje tekućina,5
28.29.13,"Filtri za ulje, gorivo i usisni zrak, za motore s unutarnjim izgaranjem",5
28.29.2,"Strojevi za čišćenje, punjenje, pakiranje i zamatanje boca i druge ambalaže; aparati za gašenje požara, pištolji za prskanje, strojevi za izbacivanje pare ili pijeska; brtve",4
28.29.21,"Strojevi za čišćenje, punjenje, pakiranje i zamatanje boca i druge ambalaže",5
28.29.22,"Aparati za gašenje požara, pištolji za prskanje, strojevi za izbacivanje pare ili pijeska i slični aparati, osim za uporabu u poljoprivredi",5
28.29.23,Brtve od metalnih listova; mehaničke brtve,5
28.29.3,"Industrijski, kućanski i ostali uređaji za vaganje i mjerenje",4
28.29.31,Uređaji za vaganje za uporabu u industriji; vage za kontinuirano vaganje robe na konvejerima; vage za konstantnu masu i vage za ispuštanje unaprijed određene mase,5
28.29.32,Osobne vage i vage za kućanstvo,5
28.29.33,Ostali uređaji za vaganje i mjerenje,5
28.29.4,"Centrifuge, kalanderi i automati za prodaju robe",4
28.29.41,Centrifuge,5
28.29.42,"Kalanderi i ostali strojevi za valjanje, osim za metale i staklo",5
28.29.43,Automati za prodaju robe,5
28.29.5,"Strojevi za pranje posuđa, industrijskog tipa",4
28.29.50,"Strojevi za pranje posuđa, industrijskog tipa",5
28.29.6,Ostali strojevi za obradu materijala promjenom temperature,4
28.29.60,Ostali strojevi za obradu materijala promjenom temperature,5
28.29.7,Neelektrični strojevi i aparati za lemljenje i zavarivanje i njihovi dijelovi; plinski strojevi i aparati za površinsku toplinsku obradu,4
28.29.70,Neelektrični strojevi i aparati za lemljenje i zavarivanje i njihovi dijelovi; plinski strojevi i aparati za površinsku toplinsku obradu,5
28.29.8,"Dijelovi ostalih strojeva za opće namjene, d. n.",4
28.29.81,Dijelovi generatora plina i vodenog plina,5
28.29.82,Dijelovi centrifuga; dijelovi strojeva i aparata za filtriranje i pročišćavanje tekućina i plinova,5
28.29.83,Dijelovi kalandera i ostalih strojeva za valjanje; dijelovi aparata za prskanje; utezi za vage,5
28.29.84,Dijelovi strojeva koji ne sadržavaju električne konektore,5
28.29.85,"Dijelovi strojeva za pranje posuđa i strojeva za čišćenje, punjenje, pakiranje i zamatanje",5
28.29.86,Dijelovi neelektričnih strojeva i aparata za lemljenje i zavarivanje; plinski strojevi i aparati za površinsku toplinsku obradu,5
28.29.9,"Podugovarateljski poslovi kao dio proizvodnje ostalih strojeva za opće namjene, d. n.",4
28.29.99,"Podugovarateljski poslovi kao dio proizvodnje ostalih strojeva za opće namjene, d. n.",5
28.3,Strojevi za poljoprivredu i šumarstvo,2
28.30,Strojevi za poljoprivredu i šumarstvo,3
28.30.1,"Poljoprivredni traktori, traktori za šumarstvo, jednoosovinski traktori i traktori gusjeničari",4
28.3,"0.11Traktori na kotačima, snage ≤ 37 kW",2
28.3,"0.12Traktori na kotačima, snage > 37 kW, ali ≤ 59 kW",2
28.3,"0.13Traktori na kotačima, snage > 59 kW",2
28.30.14,Traktori gusjeničari,5
28.30.15,"Traktori, jednoosovinski (motokultivatori)",5
28.30.2,Strojevi za pripremu zemlje,4
28.30.21,Plugovi,5
28.30.22,"Drljače, brane, kultivatori, plijevilice i kopačice",5
28.30.23,"Sijačice, sadilice i rasađivači",5
28.30.24,Raspodjeljivači stajnjaka ili gnojiva,5
28.30.29,"Strojevi za pripremu zemlje, d. n.",5
28.30.3,"Kosilice za travnjake, parkove i sportske terene",4
28.30.30,"Kosilice za travnjake, parkove i sportske terene",5
28.30.4,Strojevi za žetvu,4
28.30.41,Ostale kosilice,5
28.30.42,Strojevi za proizvodnju sijena,5
28.30.43,Strojevi za baliranje slame ili stočne hrane,5
28.30.44,Strojevi za vađenje korjenastih i gomoljastih biljaka,5
28.30.49,"Strojevi za žetvu i vršidbu, d. n.",5
28.30.5,"Strojevi za izbacivanje, raspršivanje i prskanje tekućine ili praha, za poljoprivredu i vrtlarstvo",4
28.30.50,"Strojevi za izbacivanje, raspršivanje i prskanje tekućine ili praha, za poljoprivredu i vrtlarstvo",5
28.30.6,Samoutovarne i samoistovarne prikolice i poluprikolice za poljoprivredu,4
28.30.60,Samoutovarne i samoistovarne prikolice i poluprikolice za poljoprivredu,5
28.30.7,Ostali strojevi za poljoprivredu,4
28.30.71,"Strojevi za čišćenje, sortiranje i gradiranje jaja, voća i drugih poljoprivrednih proizvoda, osim sjemenja, zrnja ili sušenoga mahunastog povrća",5
28.30.72,Strojevi za mužnju,5
28.30.73,Strojevi za pripremu hrane za životinje,5
28.30.74,Inkubatori i uzgajališta pilića,5
28.30.75,Strojevi za peradarstvo,5
28.30.79,"Ostali strojevi za poljoprivredu, d. n.",5
28.30.8,Dijelovi strojeva i opreme za poljoprivredu,4
28.30.80,Dijelovi strojeva i opreme za poljoprivredu,5
28.30.9,Podugovarateljski poslovi kao dio proizvodnje strojeva za poljoprivredu i šumarstvo,4
28.30.99,Podugovarateljski poslovi kao dio proizvodnje strojeva za poljoprivredu i šumarstvo,5
28.4,Strojevi za oblikovanje metala i alatni strojevi,2
28.41,Strojevi za oblikovanje metala i alatni strojevi za obradu metala,3
28.41.1,Alatni strojevi za obradu metala upravljani laserom i slično; obradni centri i slično,4
28.41.11,"Alatni strojevi za obradu metala odvajanjem materijala laserom, ultrazvukom, vodenim mlazom i slično",5
28.41.12,"Strojni obradni centri, strojevi izrađeni na načelu standardnih jedinica (s jednom stanicom) i transfer-strojevi s više stanica za obradu metala",5
28.41.2,"Tokarilice i alatni strojevi za obradu metala bušenjem, proširivanjem provrta i glodanjem",4
28.41.21,Tokarilice za obradu metala skidanjem čestica,5
28.41.22,"Alatni strojevi za bušenje, proširivanje provrta i glodanje metala; ostali alatni strojevi za urezivanje i narezivanje navoja",5
28.41.23,"Alatni strojevi za čišćenje, oštrenje, brušenje ili drukčiju završnu obradu metala",5
28.41.24,"Alatni strojevi za blanjanje, piljenje, odsijecanje ili drukčije rezanje metala",5
28.41.3,Ostali alatni strojevi za obradu metala,4
28.41.31,"Strojevi za savijanje, presavijanje i ravnanje metala",5
28.41.32,Strojevi za probijanje i zarezivanje metala,5
28.41.33,Strojevi za slobodno kovanje ili kovanje u ukovnju i batovi; ostale hidraulične preše i preše za obradu metala,5
28.41.34,"Ostali alatni strojevi za obradu metala, sinteriranih metalnih karbida ili kermeta bez skidanja čestica",5
28.41.4,Dijelovi i pribor za alatne strojeve za obradu metala,4
28.41.40,Dijelovi i pribor za alatne strojeve za obradu metala,5
28.41.9,Podugovarateljski poslovi kao dio proizvodnje strojeva za oblikovanje metala i alatnih strojeva za obradu metala,4
28.41.99,Podugovarateljski poslovi kao dio proizvodnje strojeva za oblikovanje metala i alatnih strojeva za obradu metala,5
28.42,Ostali alatni strojevi,3
28.42.1,"Alatni strojevi za obradu kamena, drva i sličnih tvrdih materijala",4
28.42.11,"Alatni strojevi za obradu kamena, keramike, betona i sličnih mineralnih materijala ili za hladnu obradu stakla",5
28.42.12,"Alatni strojevi za obradu drva, pluta, kosti, tvrde gume, tvrde plastike i sličnih tvrdih materijala",5
28.42.2,Držači alata,4
28.42.21,"Držači alata i samootvarajuće glave za rezanje navoja, za alatne strojeve",5
28.42.22,Držači materijala za alatne strojeve,5
28.42.23,Razdjelne glave i drugi posebni dodatni uređaji za alatne strojeve,5
28.42.24,"Dijelovi i pribor alatnih strojeva za obradu drva, pluta, kosti, tvrde gume i sličnih tvrdih materijala",5
28.42.9,Podugovarateljski poslovi kao dio proizvodnje ostalih alatnih strojeva,4
28.42.99,Podugovarateljski poslovi kao dio proizvodnje ostalih alatnih strojeva,5
28.9,Ostali strojevi za posebne namjene,2
28.91,Strojevi za metalurgiju i njihovi dijelovi,3
28.91.1,Strojevi za metalurgiju i njihovi dijelovi,4
28.91.11,"Konverteri, lonci za lijevanje, kalupi za ingote i strojevi za lijevanje metala; strojevi za valjanje metala",5
28.91.12,Dijelovi strojeva za metalurgiju; dijelovi strojeva za valjanje metala,5
28.91.9,Podugovarateljski poslovi kao dio proizvodnje strojeva za metalurgiju i njihovih dijelova,4
28.91.99,Podugovarateljski poslovi kao dio proizvodnje strojeva za metalurgiju i njihovih dijelova,5
28.92,"Strojevi za rudarstvo, vađenje i građevinarstvo",3
28.92.1,Strojevi za rudarstvo,4
28.92.11,"Elevatori i konvejeri (transporteri) koji rade kontinuirano, za radove pod zemljom",5
28.92.12,"Strojevi za rezanje ugljena i stijena, strojevi za bušenje tunela; ostali strojevi za bušenje i dubinsko bušenje",5
28.92.2,"Ostali samokretni strojevi za grejdiranje, ravnanje, struganje, iskopavanje, nabijanje, bušenje ili vađenje zemlje, minerala ili ruda",4
28.92.21,Samokretni buldožeri i angldozeri,5
28.92.22,Samokretni grejderi i ravnjači; motorni strugači (skrejperi),5
28.92.23,Samokretni strojevi za nabijanje i cestovni valjci,5
28.92.24,Samokretni utovarivači s čeonom žlicom,5
28.9,"2.25Samokretni mehanički utovarivači (bageri), rovokopači (eskavatori) i utovarivači sa žlicom, s nadgradnjom koja se okreće za 360°, osim utovarivača s čeonom žlicom",2
28.92.26,"Ostali samokretni mehanički utovarivači (bageri), rovokopači (eskavatori) i utovarivači sa žlicom; ostali samokretni strojevi za rudarstvo",5
28.92.27,Rala buldožera i angldozera,5
28.92.28,Samoistovarna vozila (damperi) za uporabu izvan cestovne mreže,5
28.92.3,Ostali strojevi za iskopavanje,4
28.92.30,Ostali strojevi za iskopavanje,5
28.92.4,"Strojevi za sortiranje, mljevenje, miješanje i sličnu obradu zemlje, kamena, ruda i drugih mineralnih materijala",4
28.92.40,"Strojevi za sortiranje, mljevenje, miješanje i sličnu obradu zemlje, kamena, ruda i drugih mineralnih materijala",5
28.92.5,"Dijelovi strojeva za rudnike, kamenolome i građevinarstvo",4
28.92.51,"Dijelovi strojeva za bušenje, dubinsko bušenje i iskopavanje; dijelovi dizalica (kranova)",5
28.92.52,"Dijelovi strojeva za sortiranje, mljevenje i sličnu obradu zemlje, kamena i sličnih materijala",5
28.92.9,"Podugovarateljski poslovi kao dio proizvodnje strojeva za rudnike, kamenolome i građevinarstvo",4
28.92.99,"Podugovarateljski poslovi kao dio proizvodnje strojeva za rudnike, kamenolome i građevinarstvo",5
28.93,"Strojevi za industriju hrane, pića i duhana",3
28.93.1,"Strojevi za industriju hrane, pića i duhan, osim njihovih dijelova",4
28.93.11,Centrifugalni separatori vrhnja,5
28.93.12,Strojevi za mljekarstvo,5
28.93.13,Strojevi za mljevenje i obradu žitarica ili sušenog povrća,5
28.93.14,"Strojevi za proizvodnju vina, jabukovače, voćnih sokova i sličnih napitaka i pića",5
28.93.15,"Neelektrične pekarske peći; aparati za kuhanje i grijanje, osim za kućanstvo",5
28.93.16,Sušionice poljoprivrednih proizvoda,5
28.93.17,"Strojevi za industrijsku pripremu ili proizvodnju hrane i pića, uključujući masti i ulja",5
28.93.18,Strojevi za pripremu ili preradu duhana,5
28.93.2,"Strojevi za čišćenje, sortiranje i gradiranje sjemenja, zrnja ili sušenoga mahunastog povrća",4
28.93.20,"Strojevi za čišćenje, sortiranje i gradiranje sjemenja, zrnja ili sušenoga mahunastog povrća",5
28.93.3,"Dijelovi strojeva za industriju hrane, pića i duhana",4
28.93.31,Dijelovi strojeva za industriju pića,5
28.93.32,Dijelovi strojeva za industriju hrane,5
28.93.33,Dijelovi strojeva za industriju duhana,5
28.93.34,"Dijelovi strojeva za čišćenje, sortiranje i gradiranje sjemenja, zrnja ili sušenoga mahunastog povrća",5
28.93.9,"Podugovarateljski poslovi kao dio proizvodnje strojeva za industriju hrane, pića i duhana",4
28.93.99,"Podugovarateljski poslovi kao dio proizvodnje strojeva za industriju hrane, pića i duhana",5
28.94,"Strojevi za industriju tekstila, odjeće i kože",3
28.94.1,"Strojevi za pripremu, predenje, tkanje i pletenje tekstila",4
28.94.11,"Strojevi za ispredanje (ekstruziju), izvlačenje, teksturiranje i rezanje umjetnih ili sintetičkih tekstilnih vlakana; strojevi za pripremu tekstilnih vlakana",5
28.94.12,"Strojevi za predenje tekstila; strojevi za dubliranje, končanje i namatanje tekstila",5
28.94.13,Strojevi za tkanje (tkalački stanovi),5
28.94.14,Strojevi za pletenje; strojevi za pletenje prošivanjem i slični strojevi; strojevi za tafting,5
28.94.15,Pomoćni uređaji za uporabu sa strojevima za obradu tekstila; strojevi za tiskanje na tekstil,5
28.94.2,Ostali strojevi za proizvodnju tekstila i odjeće,4
28.94.21,"Strojevi za pranje, čišćenje, cijeđenje, glačanje, prešanje, bojenje, namatanje i slično, tekstilne pređe i tkanina; strojevi za dovršavanje pusta (filca)",5
28.9,4.22Perilice za rublje za praonice; strojevi za kemijsko čišćenje; sušilice za rublje kapaciteta > 10 kg,2
28.94.23,Centrifugalni strojevi za sušenje rublja,5
28.94.24,"Šivaći strojevi, osim strojeva za prošivanje knjiga i šivaćih strojeva za kućanstvo",5
28.94.3,Strojevi za obradu štavljene i sirove kože ili za proizvodnju i popravak obuće i drugih predmeta,4
28.94.30,Strojevi za obradu štavljene i sirove kože ili za proizvodnju i popravak obuće i drugih predmeta,5
28.94.4,Šivaći strojevi za kućanstvo,4
28.94.40,Šivaći strojevi za kućanstvo,5
